YEAR;DOY;ALLSKY_SFC_SW_DWN;TOA_SW_DWN;ALLSKY_SFC_SW_DNI;T2M;T2MWET;T2M_MAX;T2M_MIN;TS_MAX;TS_MIN;QV2M;RH2M;PRECTOTCORR;PS;WS2M_MAX;WS2M_MIN;WS10M_MAX;WS10M_MIN;GWETPROF;ALLSKY_SFC_LW_DWN;TS
2025;161;10.61;16.08;19.45;9.92;8.13;16.35;6.5;18.31;4.46;6.1;80.72;0.1;99.76;2.02;0.17;2.85;0.24;0.55;27.27;9.34
2025;162;3.64;16.03;6.76;10.13;9.32;13.44;7.15;15.21;7.11;6.99;90.02;5.85;99.62;7.58;1.58;10.32;2.33;0.55;31.16;10.74
2025;163;8.14;15.99;6.79;10.4;9.54;12.57;8.62;12.88;8.25;7.02;89.2;11.46;100.03;6.58;1.97;8.99;3.08;0.57;28.53;10.38
2025;164;10.81;15.96;23.07;9.66;7.99;13.23;7.13;16.24;5.01;5.95;80.6;2.34;100.43;1.98;0.18;3.14;0.25;0.57;25.5;9.36
2025;165;5.38;15.92;0.68;9.44;7.52;12.49;5.96;12.9;4.44;5.78;78.84;0.79;100.33;5.57;1.21;7.63;1.64;0.57;27.91;8.89
2025;166;2.46;15.89;0.58;11.28;10.6;13.61;8.91;13.65;8.76;7.69;91.69;31.08;99.66;7.56;1.78;10.29;2.43;0.58;31.09;11.09
2025;167;8.19;15.86;11.19;9.62;8.75;13.68;6.69;15.04;7.08;6.66;89.67;4.28;100.2;3.88;1.97;4.98;3.15;0.6;28.6;10.06
2025;168;9.74;15.84;15.07;9.91;8.73;13.64;6.66;14.44;6.69;6.53;85.92;19.23;100.45;2.92;0.75;4.34;0.94;0.62;26.49;9.69
2025;169;11.28;15.83;24.46;8.8;7.25;15.16;4.63;16.04;4.8;5.71;82.6;0.02;100.63;4.73;2.72;6.16;4.06;0.62;24.15;9.14
2025;170;11.47;15.82;25.54;7.72;6.32;13.83;3.45;15.0;4.63;5.43;84.26;0.07;100.48;4.32;2.83;5.68;3.93;0.62;23.91;8.53
2025;171;10.29;15.82;19.1;9.67;9.04;15.27;5.79;15.82;6.67;6.92;91.23;0.06;100.48;5.36;2.76;7.17;4.05;0.62;26.18;10.01
2025;172;8.14;15.82;8.89;10.34;9.2;14.3;7.91;15.91;8.15;6.71;86.68;9.76;100.55;3.83;0.43;4.91;0.72;0.62;28.86;10.88
2025;173;10.04;15.82;17.1;9.25;7.55;14.34;3.77;15.69;4.95;5.82;80.94;2.76;100.59;5.04;1.05;6.78;1.36;0.63;26.24;9.88
2025;174;11.54;15.83;25.72;5.95;3.7;12.94;0.44;14.04;2.18;4.23;76.36;0.0;100.61;4.43;2.92;5.79;4.14;0.63;22.85;7.13
2025;175;10.38;15.84;19.76;7.77;6.83;14.04;2.61;15.06;3.81;5.88;88.5;0.03;100.03;5.34;2.47;7.04;3.78;0.63;25.8;8.31
2025;176;11.41;15.86;23.53;7.83;6.18;12.82;3.4;14.14;3.68;5.29;81.71;0.05;100.36;6.2;2.41;8.2;3.71;0.63;23.85;8.4
2025;177;11.49;15.88;25.21;6.7;5.1;13.01;1.78;14.41;3.09;4.89;81.63;0.0;100.83;3.99;2.18;5.24;3.2;0.63;23.49;7.54
2025;178;5.4;15.9;3.9;6.73;5.8;9.33;4.75;10.24;5.06;5.38;88.17;0.01;100.45;4.39;2.7;5.72;3.77;0.63;26.2;7.28
2025;179;11.34;15.93;24.65;6.79;5.2;12.26;3.58;13.98;3.16;4.92;82.78;0.08;100.83;3.71;1.76;4.7;2.55;0.63;23.55;7.33
2025;180;11.76;15.96;25.29;5.48;3.52;12.76;0.64;14.23;1.16;4.26;77.29;0.0;101.0;3.79;2.53;4.89;3.62;0.63;22.26;6.1
2025;181;9.29;16.04;-999.0;6.22;2.51;13.5;1.8;14.27;0.99;3.57;61.79;0.05;100.31;3.83;2.1;4.98;2.98;0.63;22.73;6.45
2025;182;10.67;16.08;-999.0;7.46;5.04;13.95;2.65;15.4;2.97;4.63;74.39;0.0;100.37;2.56;1.01;3.99;1.17;0.63;24.21;7.96
2025;183;9.8;16.13;-999.0;9.71;7.07;16.11;5.32;16.18;4.45;5.31;71.48;0.0;100.15;2.91;1.98;4.43;2.93;0.62;24.87;9.02
2025;184;9.88;16.18;-999.0;9.92;8.4;17.25;5.22;17.47;4.83;6.27;83.08;0.01;99.86;3.97;2.18;5.62;3.24;0.62;27.01;9.51
2025;185;8.37;16.23;-999.0;9.55;8.55;15.39;6.56;16.74;5.36;6.57;86.71;0.24;99.84;2.1;0.5;3.11;0.68;0.62;26.7;8.98
2025;186;4.59;16.29;-999.0;10.35;9.83;14.26;6.19;14.77;5.38;7.35;91.98;0.29;100.0;5.73;1.87;7.75;2.89;0.62;30.64;10.08
2025;187;7.33;16.36;-999.0;12.05;11.29;16.13;10.0;17.03;7.09;7.92;90.23;0.07;100.45;5.26;0.43;7.2;0.63;0.62;29.88;11.42
2025;188;7.75;16.42;-999.0;11.08;10.38;17.33;6.96;18.03;5.9;7.51;89.42;0.01;100.29;4.8;1.15;6.61;1.63;0.62;29.48;10.52
2025;189;11.02;16.5;-999.0;9.55;8.85;15.05;6.72;16.21;6.7;6.77;89.62;0.01;100.07;3.53;2.07;4.77;3.06;0.62;27.74;9.86
2025;190;10.3;16.57;-999.0;8.33;7.25;13.19;5.1;15.95;5.17;5.88;86.95;0.05;100.53;2.62;0.13;3.98;0.12;0.62;25.58;8.97
2025;191;11.52;16.65;-999.0;7.02;5.99;13.04;3.6;14.76;4.5;5.41;86.84;0.0;100.59;4.26;1.94;5.56;2.3;0.62;23.54;7.95
2025;192;11.36;16.73;-999.0;7.8;6.76;14.93;2.61;15.8;3.95;5.78;86.31;0.02;100.19;3.13;1.73;4.43;2.15;0.62;25.5;8.41
2025;193;9.69;16.82;-999.0;7.53;6.95;12.79;5.17;14.98;4.47;5.99;91.0;0.14;100.21;2.44;1.62;3.53;1.92;0.62;27.6;8.28
2025;194;3.56;16.91;-999.0;7.71;6.97;13.09;4.79;15.6;4.68;5.93;90.32;0.08;100.15;2.43;0.51;3.25;0.67;0.62;30.38;9.17
2025;195;6.7;17.01;-999.0;8.4;7.42;11.22;6.96;14.07;5.59;5.99;87.74;0.03;100.37;2.14;0.52;2.76;0.69;0.62;28.04;9.17
2025;196;10.17;17.11;-999.0;7.87;7.21;11.6;4.92;12.17;4.4;6.04;91.06;3.39;100.73;3.79;0.12;5.3;0.18;0.62;24.77;7.56
2025;197;12.06;17.21;-999.0;7.86;5.7;15.13;2.77;15.31;3.68;4.94;77.93;0.01;100.6;6.11;3.57;8.1;5.07;0.62;22.66;8.26
2025;198;11.86;17.32;-999.0;9.95;7.86;17.84;4.74;17.81;4.82;5.83;77.92;0.02;99.81;4.52;2.6;6.05;3.88;0.62;24.9;9.79
2025;199;11.45;17.43;-999.0;9.79;8.82;16.06;6.03;16.79;5.67;6.64;87.34;0.08;100.0;4.49;2.55;5.95;3.71;0.62;26.16;9.81
2025;200;9.76;17.55;-999.0;10.9;9.76;18.19;5.75;18.05;6.17;7.03;86.84;0.03;99.97;4.37;2.4;6.17;3.54;0.62;27.16;10.94
2025;201;10.22;17.66;-999.0;11.14;10.25;15.85;8.69;16.93;8.15;7.35;89.23;0.0;100.03;2.78;1.64;4.04;2.51;0.61;25.86;11.07
2025;202;11.05;17.79;-999.0;11.21;10.23;17.06;7.41;17.82;6.09;7.27;87.37;0.01;100.29;3.08;1.19;4.45;1.62;0.61;27.54;10.75
2025;203;11.85;17.91;-999.0;11.14;10.06;17.5;7.54;18.02;6.95;7.17;87.01;0.01;99.95;3.38;1.26;4.45;1.81;0.61;25.54;10.83
2025;204;8.7;18.04;-999.0;9.78;8.52;15.48;7.12;17.54;5.87;6.37;85.7;0.03;100.06;1.6;0.36;2.45;0.33;0.61;28.84;9.83
2025;205;5.28;18.17;-999.0;10.2;8.97;14.23;6.01;15.56;6.02;6.65;86.26;1.54;99.95;6.46;0.3;8.75;0.36;0.61;29.64;10.45
2025;206;9.98;18.31;-999.0;11.17;10.43;14.28;8.84;15.88;8.47;7.51;90.89;0.19;100.03;3.09;1.0;4.32;1.59;0.61;27.82;11.12
2025;207;6.56;18.44;-999.0;10.81;10.05;14.18;8.83;15.44;7.36;7.32;90.22;0.02;99.92;1.82;0.16;2.46;0.2;0.61;28.72;10.45
2025;208;4.71;18.59;-999.0;10.65;9.71;14.46;8.09;15.73;7.35;7.04;88.53;0.09;100.33;3.16;1.26;4.23;1.81;0.61;28.7;10.49
